bev_iou,box_3d_iou,center_mae_m,dimension_mae_m,yaw_mae_rad,class_macro_f1,range_mae_m,kinematic_residual,track_consistency_error,regime,seed
0.010924958623945713,0.008755585178732872,5.87061071395874,0.33212152123451233,1.4516868591308594,0.16666666666666666,5.008181095123291,0.2484862506389618,0.01699818546573321,native_no_physics,42
0.010107278823852539,0.008587547577917576,5.81298828125,0.34451356530189514,1.446057677268982,0.16666666666666666,4.960555076599121,1.0028334856033325,0.025796960728863876,native_no_physics,123
0.011916549876332283,0.008956314995884895,5.842508792877197,0.35524553060531616,1.450925350189209,0.16666666666666666,4.967566013336182,0.5524259805679321,0.023693442903459074,native_no_physics,456
0.010508588515222073,0.008583677001297474,5.866588115692139,0.3367818295955658,1.4553744792938232,0.16666666666666666,5.007075786590576,0.17860855162143707,0.05682059849301974,frozen_transfer,42
0.010958756320178509,0.009417574852705002,5.790154933929443,0.34792858362197876,1.447882890701294,0.16666666666666666,4.930764675140381,0.8936677575111389,0.046237436185280485,frozen_transfer,123
0.012141650542616844,0.009313905611634254,5.829568386077881,0.36464136838912964,1.4589632749557495,0.16666666666666666,4.939609050750732,0.15245182812213898,0.10120574608445168,frozen_transfer,456
0.010508588515222073,0.008583677001297474,5.866588115692139,0.3367818295955658,1.4553744792938232,0.16666666666666666,5.007075786590576,0.17860855162143707,0.05682059849301974,physics_transfer,42
0.010958756320178509,0.009417574852705002,5.790154933929443,0.34792858362197876,1.447882890701294,0.16666666666666666,4.930764675140381,0.8936677575111389,0.046237436185280485,physics_transfer,123
0.012141650542616844,0.009313905611634254,5.829568386077881,0.36464136838912964,1.4589632749557495,0.16666666666666666,4.939609050750732,0.15245182812213898,0.10120574608445168,physics_transfer,456
0.010924958623945713,0.008755585178732872,5.87061071395874,0.33212152123451233,1.4516868591308594,0.16666666666666666,5.008181095123291,0.2484862506389618,0.01699818546573321,partial_finetune,42
0.010107278823852539,0.008587547577917576,5.81298828125,0.34451356530189514,1.446057677268982,0.16666666666666666,4.960555076599121,1.0028334856033325,0.025796960728863876,partial_finetune,123
0.011916549876332283,0.008956314995884895,5.842508792877197,0.35524553060531616,1.450925350189209,0.16666666666666666,4.967566013336182,0.5524259805679321,0.023693442903459074,partial_finetune,456
0.010927153751254082,0.0087577560916543,5.87057638168335,0.3321076035499573,1.4516865015029907,0.16666666666666666,5.008133888244629,0.0239210557192564,0.016985697795947392,full_finetune,42
0.010133741423487663,0.00861227698624134,5.812891483306885,0.3444047272205353,1.4460906982421875,0.16666666666666666,4.960270881652832,0.030905919149518013,0.025962674990296364,full_finetune,123
0.011913169175386429,0.008954185992479324,5.8425211906433105,0.35522618889808655,1.4509074687957764,0.16666666666666666,4.96760368347168,0.017985874786973,0.02362763279428085,full_finetune,456
0.010927153751254082,0.0087577560916543,5.87057638168335,0.3321076035499573,1.4516865015029907,0.16666666666666666,5.008133888244629,0.0239210557192564,0.016985697795947392,native_with_physics,42
0.010133741423487663,0.00861227698624134,5.812891483306885,0.3444047272205353,1.4460906982421875,0.16666666666666666,4.960270881652832,0.030905919149518013,0.025962674990296364,native_with_physics,123
0.011913169175386429,0.008954185992479324,5.8425211906433105,0.35522618889808655,1.4509074687957764,0.16666666666666666,4.96760368347168,0.017985874786973,0.02362763279428085,native_with_physics,456
