dropout_p,seq_id,true_label,act_fixed_50,act_fixed_10,act_rule,act_supervised,act_ppo_42,act_ppo_123,act_ppo_456,act_oracle,j_oracle,j_ppo_456,ppo_regret
0.1000,61,Cyclist,50,10,10,5,5,5,10,5,1.3111,1.3211,0.0100
0.1000,62,Cyclist,50,10,10,5,5,5,10,5,0.0120,0.0220,0.0100
0.1000,63,Cyclist,50,10,10,5,5,5,10,5,0.0120,0.0220,0.0100
0.1000,64,Cyclist,50,10,10,5,5,5,10,5,0.0128,0.0226,0.0098
0.1000,65,Pedestrian,50,10,10,5,5,5,10,5,0.0124,0.0224,0.0100
0.1000,66,Vehicle,50,10,10,5,5,5,10,5,0.0138,0.0238,0.0100
0.1000,67,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.1000,68,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.1000,69,Vehicle,50,10,10,5,5,5,10,5,0.3029,0.3129,0.0100
0.1000,70,Cyclist,50,10,10,5,5,5,10,5,0.0194,0.0294,0.0100
0.1000,71,Cyclist,50,10,10,5,5,5,10,5,0.1161,0.1261,0.0100
0.1000,72,Empty,50,10,10,5,5,5,10,5,0.0113,0.0213,0.0100
0.1000,73,Vehicle,50,10,10,5,5,5,10,5,0.0131,0.0230,0.0099
0.1000,74,Cyclist,50,10,10,5,5,5,10,5,0.0123,0.0223,0.0100
0.2000,0,Empty,50,10,10,5,5,5,10,5,0.0117,0.0216,0.0100
0.2000,1,Pedestrian,50,10,10,5,5,5,10,5,0.0124,0.0223,0.0099
0.2000,2,Cyclist,50,10,10,5,5,5,10,5,0.3149,0.3248,0.0099
0.2000,3,Vehicle,50,10,10,5,5,5,10,5,0.0154,0.0253,0.0099
0.2000,4,Vehicle,50,10,10,5,5,5,10,5,6.2815,6.2913,0.0098
0.2000,5,Cyclist,50,10,10,5,5,5,10,5,0.0128,0.0227,0.0099
0.2000,6,Vehicle,50,10,10,5,5,5,10,5,0.0142,0.0242,0.0100
0.2000,7,Vehicle,50,10,10,5,5,5,10,5,0.0124,0.0223,0.0099
0.2000,8,Pedestrian,50,10,10,5,5,5,10,5,0.0117,0.0217,0.0100
0.2000,9,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.2000,10,Pedestrian,50,10,10,5,5,5,10,5,0.0166,0.0265,0.0099
0.2000,11,Empty,50,10,10,5,5,5,10,5,0.0114,0.0214,0.0100
0.2000,12,Pedestrian,50,10,10,5,5,5,10,10,1.1770,1.1770,0.0000
0.2000,13,Pedestrian,50,10,10,5,5,5,10,5,0.0146,0.0245,0.0099
0.2000,14,Vehicle,50,10,10,5,5,5,10,5,0.0237,0.0337,0.0099
0.2000,15,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.2000,16,Vehicle,50,10,10,5,5,5,10,5,1.6863,1.6963,0.0100
0.2000,17,Pedestrian,50,10,10,5,5,5,10,5,0.0130,0.0229,0.0099
0.2000,18,Cyclist,50,10,10,5,5,5,10,5,4.2889,4.2989,0.0100
0.2000,19,Empty,50,10,10,5,5,5,10,5,0.0114,0.0214,0.0100
0.2000,20,Empty,50,10,10,5,5,5,10,5,0.0116,0.0216,0.0100
0.2000,21,Cyclist,50,10,10,5,5,5,10,5,1.3894,1.3994,0.0100
0.2000,22,Cyclist,50,10,10,5,5,5,10,5,3.7798,3.7898,0.0100
0.2000,23,Empty,50,10,10,5,5,5,10,5,1.4297,1.4662,0.0365
0.2000,24,Vehicle,50,10,10,5,5,5,10,5,0.0139,0.0238,0.0099
0.2000,25,Vehicle,50,10,10,5,5,5,10,5,4.9969,5.0070,0.0100
0.2000,26,Cyclist,50,10,10,5,5,5,10,5,0.0582,0.0681,0.0099
0.2000,27,Vehicle,50,10,10,5,5,5,10,10,1.5899,1.5899,0.0000
0.2000,28,Cyclist,50,10,10,5,5,5,10,5,0.0144,0.0243,0.0098
0.2000,29,Empty,50,10,10,5,5,5,10,5,0.4200,0.4300,0.0099
0.2000,30,Cyclist,50,10,10,5,5,5,10,5,7.8806,7.8906,0.0099
0.2000,31,Pedestrian,50,10,10,5,5,5,10,5,0.3007,0.3106,0.0100
0.2000,32,Pedestrian,50,10,10,5,5,5,10,5,0.0124,0.0223,0.0099
0.2000,33,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.2000,34,Vehicle,50,10,10,5,5,5,10,5,0.0131,0.0230,0.0099
0.2000,35,Pedestrian,50,10,10,5,5,5,10,5,0.0119,0.0218,0.0099
0.2000,36,Cyclist,50,10,10,5,5,5,10,10,1.2140,1.2140,0.0000
0.2000,37,Empty,50,10,10,5,5,5,10,5,0.0116,0.0216,0.0100
0.2000,38,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.2000,39,Vehicle,50,10,10,5,5,5,10,5,0.0131,0.0231,0.0100
0.2000,40,Empty,50,10,10,5,5,5,10,5,0.0116,0.0216,0.0100
0.2000,41,Pedestrian,50,10,10,5,5,5,10,5,0.0119,0.0219,0.0099
0.2000,42,Pedestrian,50,10,10,5,5,5,10,5,1.1659,1.1698,0.0039
0.2000,43,Vehicle,50,10,10,5,5,5,10,5,1.5626,1.5699,0.0073
0.2000,44,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.2000,45,Empty,50,10,10,5,5,5,10,5,0.0114,0.0214,0.0100
0.2000,46,Vehicle,50,10,10,5,5,5,10,5,0.0126,0.0226,0.0099
0.2000,47,Vehicle,50,10,10,5,5,5,10,5,0.6961,0.7060,0.0098
0.2000,48,Pedestrian,50,10,10,5,5,5,10,5,6.0374,6.0473,0.0099
0.2000,49,Pedestrian,50,10,10,5,5,5,10,5,0.0129,0.0228,0.0099
0.2000,50,Pedestrian,50,10,10,5,5,5,10,5,0.0126,0.0226,0.0100
0.2000,51,Vehicle,50,10,10,5,5,5,10,10,1.5816,1.5816,0.0000
0.2000,52,Pedestrian,50,10,10,5,5,5,10,5,0.0138,0.0236,0.0099
0.2000,53,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.2000,54,Pedestrian,50,10,10,5,5,5,10,5,1.1597,1.1748,0.0152
0.2000,55,Cyclist,50,10,10,5,5,5,10,10,1.1823,1.1823,0.0000
0.2000,56,Vehicle,50,10,10,5,5,5,10,5,0.0388,0.0487,0.0099
0.2000,57,Vehicle,50,10,10,5,5,5,10,5,0.0132,0.0231,0.0099
0.2000,58,Vehicle,50,10,10,5,5,5,10,5,0.0443,0.0542,0.0099
0.2000,59,Empty,50,10,10,5,5,5,10,5,0.0118,0.0217,0.0100
0.2000,60,Vehicle,50,10,10,5,5,5,10,5,0.0153,0.0252,0.0099
0.2000,61,Cyclist,50,10,10,5,5,5,10,5,1.3081,1.3181,0.0100
0.2000,62,Cyclist,50,10,10,5,5,5,10,10,1.2645,1.2645,0.0000
0.2000,63,Cyclist,50,10,10,5,5,5,10,5,0.0124,0.0223,0.0100
