regime,velocity_mae_m_s,kinematic_residual,center_error_m
scratch,0.08935969139730636,1.459135139087836,0.1286150191541431
transfer,0.22128044655614454,0.9553941214581331,0.2183044162905814
frozen,0.2889826776496678,1.8074356510241827,0.9816266799110842
finetune,0.28286113111894035,4.2458230710029605,0.2630549701867858
