title,regime,mean_mpjpe,std_mpjpe,min_mpjpe,max_mpjpe,mean_pa_mpjpe,std_pa_mpjpe,mean_box_3d_ap,std_box_3d_ap,mean_bev_ap,mean_center_err,mean_vel_err,mean_kin_residual
M4H-A: Scratch (Control Baseline),scratch,87.78465652664504,3.0197807984620186,83.55307928085327,90.39937361717224,27.593426918222878,1.2946461810452674,0.9900000000000001,0.0037586705318059946,0.9655208333333333,0.1286150191541431,0.08935969139730636,1.459135139087836
M4H-B: V6.4 Foundation Transfer,transfer,97.79084195216497,1.3575808062444583,95.8986149418354,99.0182847559452,27.042792146482196,0.34994064518028367,0.9322916666666666,0.03276964794423171,0.8136458333333333,0.2183044162905814,0.22128044655614454,0.9553941214581331
M4H-C: Frozen V6.4 Foundation Transfer,frozen,279.44536695599555,21.964399942117094,248.54186500072478,297.6141884887218,50.65736495424062,2.7805875440369947,0.08791666666666668,0.003464226905899145,0.058645833333333335,0.9816266799110842,0.2889826776496678,1.8074356510241827
M4H-D: Full Fine-Tuning,finetune,192.05276766896247,14.056896273238316,172.39164704144002,204.4278811866045,31.265988320907734,0.6235209507640419,0.8522916666666666,0.030655101419756484,0.6708333333333334,0.2630549701867858,0.28286113111894035,4.2458230710029605
