regime,HOTA,IDF1,MOTA,id_switches,track_fragmentations,mean_trajectory_error_m
scratch,0.9551581196470458,1.0,0.996875,0,0,0.1345496950403238
transfer,0.9347038742985266,0.999375,0.9803125,2,2,0.19587692125313502
frozen,0.6715170815414362,0.19093749999999998,0.0,2589,2589,0.9854310487646513
finetune,0.9135162245701455,0.9809375,0.919375,61,61,0.25938676700529345
