type,recon_mse,missing_mse,kinematic_residual,temporal_consistency,latent_mean,latent_std,latent_min,latent_max,latent_abs_mean
Clean (p=0%),0.022687746211886406,0.0,0.0205359881122907,0.5703605016072592,0.14584985375404358,1.5215165615081787,-2.881556749343872,7.787199974060059,1.1627141237258911
Bernoulli p=0.10,0.03609361375371615,0.14219354838132858,0.022245967760682106,0.7343900700410207,0.14700238406658173,1.5167428255081177,-3.9270544052124023,8.361995697021484,1.1536657810211182
Bernoulli p=0.20,0.04137701541185379,0.10194766521453857,0.024389527117212612,0.7803059021631876,0.14809036254882812,1.5106897354125977,-4.54581880569458,8.515274047851562,1.1445401906967163
Bernoulli p=0.30,0.05939994131525358,0.1328908416132132,0.026132737286388874,0.9017687837282816,0.1498533934354782,1.4838201999664307,-4.61276912689209,8.536308288574219,1.1187812089920044
Bernoulli p=0.40,0.07701643804709117,0.14242347329854965,0.028991040773689747,1.069620410601298,0.1534716933965683,1.428113579750061,-4.304403305053711,8.530757904052734,1.0709744691848755
Bernoulli p=0.50,0.08036389201879501,0.13558613881468773,0.03163004294037819,1.1475940942764282,0.15486308932304382,1.3846896886825562,-4.254611492156982,7.980667591094971,1.0340969562530518
Contiguous Gap G=2,0.024122553567091625,0.032106819562613964,0.022479808889329433,0.6037178834279379,0.1457643210887909,1.523028016090393,-3.8326244354248047,8.13647747039795,1.1618971824645996
Contiguous Gap G=4,0.027783896774053574,0.04129871167242527,0.025250030681490898,0.6564297676086426,0.14925336837768555,1.4787153005599976,-3.6794328689575195,8.04533863067627,1.1254934072494507
Contiguous Gap G=8,0.0520526630183061,0.07944926184912522,0.03713606453190247,0.7419971625010172,0.16156622767448425,1.2834293842315674,-3.3146255016326904,7.216879844665527,0.9663056135177612
