title,regime,lambda_physics,mean_3d_map,std_3d_map,mean_bev_map,std_bev_map,mean_center_mae,std_center_mae,mean_macro_f1,mean_kin_residual,std_kin_residual
Experiment 1: VoD-From-Scratch (Control),scratch,0.01,0.015427977778017521,0.003276332216778888,0.021166516467928886,0.003342106992041323,6.506405830383301,0.15417439260485372,0.291669969522574,0.15066594009598097,0.08071274328268761
Experiment 2: Oxford -> VoD Frozen Transfer,frozen_transfer,0.01,0.006969326641410589,0.0007567834805552202,0.013732292378942171,0.0011297792679944654,5.67706282933553,0.2096954275197943,0.2736541560697055,0.16850613554318747,0.011991041618876597
Experiment 3: Oxford -> VoD Temporal Fine-Tuning,temporal_finetune,0.01,0.010870009350279966,0.005131845190038257,0.01523503785332044,0.006431366031310291,6.046312014261882,0.5628383662739426,0.2710063175108401,0.23771042128403982,0.10716869937110018
Experiment 4: Full Oxford -> VoD Fine-Tuning (lambda=0.01),full_finetune,0.01,0.012880466257532438,0.0027607069293806475,0.018538290945192177,0.003111472755158398,6.074305375417073,0.4638497809881948,0.3333758688333243,0.03184390192230543,0.006824822152552985
Physics Ablation: Full Transfer (lambda=0.00),full_finetune,0.0,0.012397415935993195,0.002436652050782209,0.01895085411767165,0.0053410601840884276,6.212994575500488,0.31244154296760357,0.2585517430278065,0.26874006042877835,0.16251173198262306
Physics Ablation: Full Transfer (lambda=0.05),full_finetune,0.05,0.023453693216045696,0.004349593693988017,0.029796764254570007,0.00528916045345037,5.953525384267171,0.06606452366544659,0.30769038005131466,0.05470323252181212,0.023408152190803888
