type,bev_mAP,box_3d_mAP,center_mae_m,dimension_mae_m,yaw_mae_rad,class_macro_f1,kinematic_residual
Clean (p=0%),0.022638017311692238,0.01638425700366497,5.95089864730835,0.6756772398948669,1.39862060546875,0.38841481110087245,0.03958924114704132
Bernoulli p=0.10,0.017459388822317123,0.012603639625012875,6.4382004737854,0.6805921196937561,1.3933919668197632,0.3801936418643193,0.03473198413848877
Bernoulli p=0.20,0.014569590799510479,0.010499673895537853,6.746635913848877,0.6867271661758423,1.405954122543335,0.3644385879475703,0.0328700877726078
Bernoulli p=0.30,0.012648677453398705,0.009266173467040062,6.9734110832214355,0.6920865774154663,1.4068676233291626,0.35267630397450533,0.03230080008506775
Bernoulli p=0.40,0.010771164670586586,0.008122407831251621,7.251922607421875,0.7055484652519226,1.4119899272918701,0.32910928057771427,0.031394049525260925
Bernoulli p=0.50,0.009848383255302906,0.007511787582188845,7.401214599609375,0.7159926295280457,1.421633243560791,0.31786343946523327,0.031257010996341705
Contiguous Gap G=2,0.014663842506706715,0.010715764947235584,6.558085918426514,0.6641374230384827,1.3970255851745605,0.37970682070767575,0.027906054630875587
Contiguous Gap G=4,0.011271451599895954,0.008250814862549305,6.917227745056152,0.6794176697731018,1.4070073366165161,0.34919245363013673,0.022305307909846306
Contiguous Gap G=8,0.008007227443158627,0.0059969243593513966,7.522822856903076,0.7152837514877319,1.431873083114624,0.29712754212743947,0.02271263673901558
