mode,mpjpe,pa_mpjpe,root_mae,velocity_mae,kin_residual,params,bytes,latency_ms
static_only,56.6,26.8,50.3,0.2213,0.7484,36,144,~0.003
static_adaline,79.7,26.8,72.2,0.2213,0.7536,72,288,~0.006
