window_T,seed,gap_length,model_name,diffusion_steps,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,boundary_temporal_error,latency_ms
16,42,1,B0_Persistence,0,0,0.032391,0.039284,0.179976,0.002024,0.005238,0.039284,0.010000
16,42,1,B1_Framewise,0,33344,0.124669,0.143067,0.353086,0.007792,0.019076,0.143067,0.100000
16,42,1,B2_Mamba,0,76800,0.102421,0.139284,0.320033,0.006401,0.018571,0.139284,0.450000
16,42,1,B3_Mamba_Diffusion_5,5,226880,0.133307,0.159066,0.365112,0.008332,0.021209,0.159066,1.173358
16,42,1,B3_Mamba_Diffusion_10,10,226880,0.133490,0.158829,0.365363,0.008343,0.021177,0.158829,1.742419
16,42,1,B3_Mamba_Diffusion_20,20,226880,0.132130,0.155940,0.363498,0.008258,0.020792,0.155940,2.701823
16,42,2,B0_Persistence,0,0,0.036416,0.044872,0.190831,0.004552,0.008920,0.044872,0.010000
16,42,2,B1_Framewise,0,33344,0.125725,0.143775,0.354577,0.015716,0.022107,0.143775,0.100000
16,42,2,B2_Mamba,0,76800,0.105163,0.139765,0.324288,0.013145,0.022157,0.139765,0.450000
16,42,2,B3_Mamba_Diffusion_5,5,226880,0.132476,0.159486,0.363972,0.016559,0.024563,0.159486,1.532003
16,42,2,B3_Mamba_Diffusion_10,10,226880,0.134014,0.159575,0.366079,0.016752,0.024613,0.159575,1.358832
16,42,2,B3_Mamba_Diffusion_20,20,226880,0.134934,0.157609,0.367333,0.016867,0.024305,0.157609,4.790019
16,42,4,B0_Persistence,0,0,0.044229,0.053453,0.210307,0.011057,0.016284,0.055411,0.010000
16,42,4,B1_Framewise,0,33344,0.125526,0.144014,0.354296,0.031381,0.028130,0.144253,0.100000
16,42,4,B2_Mamba,0,76800,0.108119,0.139070,0.328814,0.027030,0.028756,0.139732,0.450000
16,42,4,B3_Mamba_Diffusion_5,5,226880,0.133200,0.160602,0.364966,0.033300,0.031620,0.160871,1.091687
16,42,4,B3_Mamba_Diffusion_10,10,226880,0.133386,0.159883,0.365220,0.033346,0.031397,0.159540,1.664852
16,42,4,B3_Mamba_Diffusion_20,20,226880,0.135016,0.158157,0.367446,0.033754,0.031263,0.158597,2.909745
16,42,8,B0_Persistence,0,0,0.050857,0.061611,0.225515,0.025428,0.029669,0.057823,0.010000
