dataset_scale,window_T,seed,corruption_mode,corruption_param,model_name,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,latency_ms,peak_vram_mb
medium,16,456,bernoulli_dropout,0.500000,B2_Mamba,76800,0.114639,0.147907,0.338583,0.056626,0.089018,3.259732,73.807129
medium,16,456,contiguous_gap,1.000000,B0_Persistence,0,0.031526,0.036844,0.177556,0.001970,0.004913,0.500000,73.807129
medium,16,456,contiguous_gap,1.000000,B1_Framewise,33344,0.096147,0.131563,0.310076,0.006009,0.017542,0.500000,73.807129
medium,16,456,contiguous_gap,1.000000,B2_Mamba,76800,0.072795,0.121104,0.269805,0.004550,0.016147,0.500000,73.807129
medium,16,456,contiguous_gap,2.000000,B0_Persistence,0,0.032356,0.039650,0.179878,0.004044,0.007855,0.500000,73.807129
medium,16,456,contiguous_gap,2.000000,B1_Framewise,33344,0.098965,0.132917,0.314587,0.012371,0.020290,0.500000,73.807129
medium,16,456,contiguous_gap,2.000000,B2_Mamba,76800,0.085040,0.125890,0.291616,0.010630,0.021432,0.500000,73.807129
medium,16,456,contiguous_gap,4.000000,B0_Persistence,0,0.036028,0.046414,0.189810,0.009007,0.013947,0.500000,73.807129
medium,16,456,contiguous_gap,4.000000,B1_Framewise,33344,0.104563,0.135647,0.323362,0.026141,0.025909,0.500000,73.807129
medium,16,456,contiguous_gap,4.000000,B2_Mamba,76800,0.091994,0.128877,0.303305,0.022999,0.029613,0.500000,73.807129
medium,16,456,contiguous_gap,8.000000,B0_Persistence,0,0.038500,0.052678,0.196214,0.019250,0.024895,0.500000,73.807129
medium,16,456,contiguous_gap,8.000000,B1_Framewise,33344,0.115666,0.140755,0.340097,0.057833,0.037208,0.500000,73.807129
medium,16,456,contiguous_gap,8.000000,B2_Mamba,76800,0.108345,0.136538,0.329158,0.054172,0.041098,0.500000,73.807129
