dataset_scale,window_T,seed,corruption_mode,corruption_param,model_name,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,latency_ms,peak_vram_mb
medium,4,123,contiguous_gap,2.000000,B1_Framewise,33344,0.133840,0.152466,0.365841,0.066920,0.122875,0.500000,69.410645
medium,4,123,contiguous_gap,2.000000,B2_Mamba,76800,0.121428,0.150392,0.348465,0.060714,0.127211,0.500000,69.410645
medium,4,456,bernoulli_dropout,0.100000,B0_Persistence,0,0.125490,0.077582,0.354246,0.010944,0.014233,0.100000,69.410645
medium,4,456,bernoulli_dropout,0.100000,B1_Framewise,33344,0.133102,0.153392,0.364831,0.011608,0.026941,0.100000,69.410645
medium,4,456,bernoulli_dropout,0.100000,B2_Mamba,76800,0.117366,0.153455,0.342587,0.010235,0.026869,1.169514,69.410645
medium,4,456,bernoulli_dropout,0.200000,B0_Persistence,0,0.051110,0.050930,0.226075,0.009212,0.017450,0.100000,69.410645
medium,4,456,bernoulli_dropout,0.200000,B1_Framewise,33344,0.125930,0.146758,0.354866,0.022697,0.051913,0.100000,69.410645
medium,4,456,bernoulli_dropout,0.200000,B2_Mamba,76800,0.110011,0.144520,0.331679,0.019828,0.051184,1.198633,69.410645
medium,4,456,bernoulli_dropout,0.300000,B0_Persistence,0,0.141108,0.100206,0.375643,0.041020,0.027977,0.100000,69.410645
medium,4,456,bernoulli_dropout,0.300000,B1_Framewise,33344,0.148272,0.159897,0.385062,0.043102,0.063127,0.100000,69.410645
medium,4,456,bernoulli_dropout,0.300000,B2_Mamba,76800,0.135168,0.158949,0.367653,0.039293,0.063848,1.073709,69.410645
medium,4,456,bernoulli_dropout,0.400000,B0_Persistence,0,0.218774,0.150935,0.467733,0.096668,0.038839,0.100000,69.410645
medium,4,456,bernoulli_dropout,0.400000,B1_Framewise,33344,0.132905,0.151650,0.364561,0.058725,0.079114,0.100000,69.410645
medium,4,456,bernoulli_dropout,0.400000,B2_Mamba,76800,0.125765,0.150263,0.354634,0.055571,0.080056,1.358665,69.410645
