window_T,seed,lambda_phys,gap_length,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,r_phys_vel,r_motion,r_acc,r_yaw,latency_ms,train_time_s,best_epoch
16,42,0.010000,8,74949,0.117371,0.140653,0.342594,0.058685,0.042183,0.110489,0.030310,0.385778,0.039376,1.834045,16.221333,180
16,42,0.050000,1,74949,0.105836,0.145957,0.325325,0.006615,0.019461,0.114145,0.029512,0.459215,0.022869,1.083835,17.575677,200
16,42,0.050000,2,74949,0.109236,0.146951,0.330509,0.013654,0.022769,0.117520,0.030870,0.406303,0.023962,0.934229,17.575677,200
16,42,0.050000,4,74949,0.112890,0.147375,0.335991,0.028222,0.029136,0.117474,0.031169,0.379918,0.021080,0.813210,17.575677,200
16,42,0.050000,8,74949,0.118467,0.147728,0.344190,0.059233,0.042564,0.116153,0.030239,0.374308,0.017995,1.103613,17.575677,200
16,42,0.100000,1,74949,0.104425,0.132234,0.323148,0.006527,0.017631,0.103017,0.029839,0.366181,0.015070,0.901690,15.563296,195
16,42,0.100000,2,74949,0.106078,0.133536,0.325696,0.013260,0.020873,0.106216,0.030515,0.361936,0.015610,0.830565,15.563296,195
16,42,0.100000,4,74949,0.111645,0.135784,0.334134,0.027911,0.027896,0.108766,0.031135,0.361629,0.018084,0.851319,15.563296,195
16,42,0.100000,8,74949,0.119219,0.139643,0.345281,0.059609,0.041529,0.110605,0.032451,0.365196,0.022072,0.804277,15.563296,195
16,123,0.000000,1,74949,0.114818,0.140335,0.338848,0.007176,0.018711,0.370230,0.185660,0.517904,0.179477,0.757668,16.422391,180
16,123,0.000000,2,74949,0.118586,0.142907,0.344363,0.014823,0.022367,0.376208,0.193348,0.437697,0.172452,0.759084,16.422391,180
16,123,0.000000,4,74949,0.122984,0.143539,0.350691,0.030746,0.029015,0.371575,0.205416,0.400969,0.149508,0.822287,16.422391,180
16,123,0.000000,8,74949,0.128821,0.145650,0.358916,0.064410,0.042484,0.364020,0.219053,0.384059,0.124631,0.895203,16.422391,180
16,123,0.010000,1,74949,0.111379,0.138369,0.333735,0.006961,0.018449,0.105495,0.025347,0.375759,0.016819,1.250045,17.602670,155
16,123,0.010000,2,74949,0.116080,0.140266,0.340705,0.014510,0.022337,0.106595,0.026006,0.369231,0.016875,1.543010,17.602670,155
16,123,0.010000,4,74949,0.122389,0.143078,0.349842,0.030597,0.029341,0.109035,0.027672,0.367896,0.017113,1.209694,17.602670,155
16,123,0.010000,8,74949,0.129972,0.146840,0.360517,0.064986,0.042956,0.114466,0.029317,0.370122,0.017983,1.370865,17.602670,155
16,123,0.050000,1,74949,0.105672,0.141042,0.325072,0.006605,0.018806,0.109438,0.042877,0.368489,0.015584,1.566852,18.381135,195
16,123,0.050000,2,74949,0.110963,0.143330,0.333111,0.013870,0.022522,0.110983,0.041282,0.362237,0.016472,1.228823,18.381135,195
16,123,0.050000,4,74949,0.115645,0.144230,0.340066,0.028911,0.029322,0.113333,0.038649,0.367456,0.015778,1.441968,18.381135,195
16,123,0.050000,8,74949,0.122229,0.145881,0.349613,0.061115,0.042870,0.114452,0.034743,0.368580,0.015036,1.545352,18.381135,195
16,123,0.100000,1,74949,0.099301,0.129535,0.315121,0.006206,0.017271,0.106294,0.025513,0.505187,0.017320,1.814255,18.097827,195
16,123,0.100000,2,74949,0.105441,0.133036,0.324717,0.013180,0.021176,0.106019,0.025617,0.441305,0.017860,1.076532,18.097827,195
16,123,0.100000,4,74949,0.113696,0.137400,0.337188,0.028424,0.028711,0.109349,0.027632,0.415958,0.017127,1.190855,18.097827,195
16,123,0.100000,8,74949,0.126809,0.146394,0.356103,0.063405,0.043186,0.114950,0.030630,0.385620,0.015532,1.028171,18.097827,195
16,456,0.000000,1,74949,0.080490,0.123281,0.283708,0.005031,0.016437,0.221421,0.366543,0.806601,0.396375,0.933613,17.263670,200
16,456,0.000000,2,74949,0.085858,0.125415,0.293015,0.010732,0.020372,0.223486,0.368375,0.578098,0.394714,0.868203,17.263670,200
16,456,0.000000,4,74949,0.098754,0.129954,0.314252,0.024689,0.028227,0.233440,0.382411,0.469546,0.406801,1.081387,17.263670,200
16,456,0.000000,8,74949,0.113230,0.137356,0.336496,0.056615,0.042325,0.244292,0.397463,0.418231,0.414453,1.283716,17.263670,200
16,456,0.010000,1,74949,0.068434,0.123765,0.261600,0.004277,0.016502,0.104520,0.039569,0.449468,0.023847,1.163287,17.498968,185
16,456,0.010000,2,74949,0.076541,0.125934,0.276660,0.009568,0.020852,0.104371,0.034573,0.408168,0.023145,1.154387,17.498968,185
16,456,0.010000,4,74949,0.089412,0.130013,0.299019,0.022353,0.029360,0.105226,0.031250,0.391286,0.021659,1.273729,17.498968,185
16,456,0.010000,8,74949,0.111407,0.138940,0.333777,0.055704,0.043591,0.110133,0.030036,0.378950,0.020307,1.149613,17.498968,185
16,456,0.050000,1,74949,0.122370,0.149111,0.349814,0.007648,0.019882,0.101385,0.027997,0.431856,0.014848,1.104381,17.388323,200
16,456,0.050000,2,74949,0.123230,0.151356,0.351041,0.015404,0.023666,0.102490,0.028183,0.398938,0.015430,1.039265,17.388323,200
16,456,0.050000,4,74949,0.127339,0.150965,0.356846,0.031835,0.030561,0.106591,0.028845,0.386359,0.015565,1.129255,17.388323,200
16,456,0.050000,8,74949,0.131026,0.150384,0.361975,0.065513,0.043948,0.110778,0.029414,0.374361,0.015112,1.196571,17.388323,200
16,456,0.100000,1,74949,0.080455,0.123211,0.283645,0.005028,0.016428,0.111326,0.035533,0.375279,0.014698,1.035955,18.347998,190
16,456,0.100000,2,74949,0.085782,0.126135,0.292886,0.010723,0.020465,0.112488,0.038051,0.367241,0.015647,0.925519,18.347998,190
16,456,0.100000,4,74949,0.094892,0.130270,0.308045,0.023723,0.028114,0.112714,0.039355,0.375914,0.014984,1.207758,18.347998,190
16,456,0.100000,8,74949,0.109206,0.136924,0.330464,0.054603,0.042308,0.113643,0.038748,0.374230,0.014521,1.165090,18.347998,190
