window_T,seed,corruption_mode,corruption_param,model_name,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,latency_ms,peak_vram_mb
4,456,bernoulli_dropout,0.100000,B0_Persistence,0,0.179604,0.107514,0.423798,0.015847,0.020692,0.100000,66.916016
4,456,bernoulli_dropout,0.100000,B1_Framewise,33344,0.196916,0.151383,0.443752,0.017375,0.029961,0.100000,66.916016
4,456,bernoulli_dropout,0.100000,B2_Mamba,76800,0.249746,0.175053,0.499746,0.022036,0.035205,1.168712,66.916016
4,456,bernoulli_dropout,0.200000,B0_Persistence,0,0.433975,0.235916,0.658768,0.076584,0.028084,0.100000,66.916016
4,456,bernoulli_dropout,0.200000,B1_Framewise,33344,0.190250,0.152226,0.436177,0.033574,0.038410,0.100000,66.916016
4,456,bernoulli_dropout,0.200000,B2_Mamba,76800,0.204230,0.164757,0.451918,0.036041,0.041400,1.491194,66.916016
4,456,bernoulli_dropout,0.300000,B0_Persistence,0,0.181939,0.102625,0.426543,0.050836,0.050018,0.100000,66.916016
4,456,bernoulli_dropout,0.300000,B1_Framewise,33344,0.164310,0.139315,0.405352,0.045910,0.064354,0.100000,66.916016
4,456,bernoulli_dropout,0.300000,B2_Mamba,76800,0.186230,0.152914,0.431543,0.052035,0.072778,1.261135,66.916016
4,456,bernoulli_dropout,0.400000,B0_Persistence,0,0.260606,0.128633,0.510496,0.111141,0.083364,0.100000,66.916016
4,456,bernoulli_dropout,0.400000,B1_Framewise,33344,0.180859,0.149945,0.425276,0.077131,0.094753,0.100000,66.916016
4,456,bernoulli_dropout,0.400000,B2_Mamba,76800,0.209140,0.163956,0.457318,0.089192,0.107406,1.724100,66.916016
4,456,bernoulli_dropout,0.500000,B0_Persistence,0,0.236017,0.120789,0.485816,0.104125,0.076643,0.100000,66.916016
4,456,bernoulli_dropout,0.500000,B1_Framewise,33344,0.167706,0.141826,0.409519,0.073988,0.082385,0.100000,66.916016
4,456,bernoulli_dropout,0.500000,B2_Mamba,76800,0.190770,0.156960,0.436773,0.084163,0.094475,1.278800,66.916016
4,456,contiguous_gap,1.000000,B0_Persistence,0,0.209388,0.113327,0.457589,0.052347,0.075551,0.500000,66.916016
4,456,contiguous_gap,1.000000,B1_Framewise,33344,0.176733,0.146349,0.420396,0.044183,0.097566,0.500000,66.916016
4,456,contiguous_gap,1.000000,B2_Mamba,76800,0.186953,0.158887,0.432380,0.046738,0.105925,0.500000,66.916016
4,456,contiguous_gap,2.000000,B0_Persistence,0,0.254446,0.126160,0.504426,0.127223,0.122296,0.500000,66.916016
4,456,contiguous_gap,2.000000,B1_Framewise,33344,0.174138,0.145724,0.417298,0.087069,0.135339,0.500000,66.916016
4,456,contiguous_gap,2.000000,B2_Mamba,76800,0.193215,0.158369,0.439562,0.096607,0.159179,0.500000,66.916016
8,42,bernoulli_dropout,0.100000,B0_Persistence,0,0.217637,0.102581,0.466516,0.016741,0.015837,0.100000,67.064453
8,42,bernoulli_dropout,0.100000,B1_Framewise,33344,0.179754,0.141215,0.423974,0.013827,0.020516,0.100000,67.064453
8,42,bernoulli_dropout,0.100000,B2_Mamba,76800,0.210906,0.174811,0.459245,0.016224,0.026043,1.971238,67.064453
8,42,bernoulli_dropout,0.200000,B0_Persistence,0,0.223390,0.124211,0.472642,0.060144,0.058465,0.100000,67.073242
8,42,bernoulli_dropout,0.200000,B1_Framewise,33344,0.162769,0.142875,0.403447,0.043822,0.067594,0.100000,67.073242
8,42,bernoulli_dropout,0.200000,B2_Mamba,76800,0.227074,0.170311,0.476523,0.061135,0.081710,1.971985,67.073242
8,42,bernoulli_dropout,0.300000,B0_Persistence,0,0.233712,0.122487,0.483438,0.067417,0.056787,0.100000,67.073242
8,42,bernoulli_dropout,0.300000,B1_Framewise,33344,0.175848,0.145897,0.419343,0.050725,0.065926,0.100000,67.073242
8,42,bernoulli_dropout,0.300000,B2_Mamba,76800,0.241259,0.176512,0.491181,0.069594,0.082117,1.763985,67.073242
8,42,bernoulli_dropout,0.400000,B0_Persistence,0,0.264738,0.133914,0.514527,0.076367,0.056007,0.100000,67.073242
8,42,bernoulli_dropout,0.400000,B1_Framewise,33344,0.173054,0.148639,0.415998,0.049919,0.068471,0.100000,67.073242
8,42,bernoulli_dropout,0.400000,B2_Mamba,76800,0.250510,0.188982,0.500509,0.072262,0.088119,1.972477,67.073242
8,42,bernoulli_dropout,0.500000,B0_Persistence,0,0.255722,0.127954,0.505690,0.130320,0.084726,0.100000,67.073242
8,42,bernoulli_dropout,0.500000,B1_Framewise,33344,0.168738,0.144716,0.410777,0.085991,0.099352,0.100000,67.073242
8,42,bernoulli_dropout,0.500000,B2_Mamba,76800,0.222447,0.165923,0.471643,0.113362,0.120741,2.074808,67.073242
8,42,contiguous_gap,1.000000,B0_Persistence,0,0.240122,0.125314,0.490023,0.030015,0.035804,0.500000,67.073242
8,42,contiguous_gap,1.000000,B1_Framewise,33344,0.176870,0.145728,0.420559,0.022109,0.041637,0.500000,67.073242
8,42,contiguous_gap,1.000000,B2_Mamba,76800,0.202732,0.162944,0.450258,0.025342,0.046555,0.500000,67.073242
8,42,contiguous_gap,2.000000,B0_Persistence,0,0.300793,0.141887,0.548446,0.075198,0.059241,0.500000,67.073242
8,42,contiguous_gap,2.000000,B1_Framewise,33344,0.175506,0.145491,0.418935,0.043877,0.060271,0.500000,67.073242
8,42,contiguous_gap,2.000000,B2_Mamba,76800,0.208507,0.167463,0.456625,0.052127,0.075231,0.500000,67.073242
8,42,contiguous_gap,4.000000,B0_Persistence,0,0.302885,0.141526,0.550350,0.151443,0.088208,0.500000,67.073242
8,42,contiguous_gap,4.000000,B1_Framewise,33344,0.173532,0.145975,0.416572,0.086766,0.093920,0.500000,67.073242
8,42,contiguous_gap,4.000000,B2_Mamba,76800,0.209056,0.165054,0.457227,0.104528,0.117147,0.500000,67.073242
8,123,bernoulli_dropout,0.100000,B0_Persistence,0,0.210391,0.122572,0.458684,0.024276,0.028713,0.100000,67.073242
8,123,bernoulli_dropout,0.100000,B1_Framewise,33344,0.167224,0.147964,0.408931,0.019295,0.034035,0.100000,67.073242
8,123,bernoulli_dropout,0.100000,B2_Mamba,76800,0.240064,0.172213,0.489964,0.027700,0.039835,2.322262,67.073242
8,123,bernoulli_dropout,0.200000,B0_Persistence,0,0.168798,0.106942,0.410850,0.034084,0.043614,0.100000,67.073242
8,123,bernoulli_dropout,0.200000,B1_Framewise,33344,0.152195,0.142172,0.390121,0.030732,0.054718,0.100000,67.073242
8,123,bernoulli_dropout,0.200000,B2_Mamba,76800,0.232493,0.174453,0.482175,0.046946,0.069272,1.776438,67.073242
8,123,bernoulli_dropout,0.300000,B0_Persistence,0,0.224243,0.121495,0.473543,0.084091,0.073678,0.100000,67.073242
8,123,bernoulli_dropout,0.300000,B1_Framewise,33344,0.167721,0.147677,0.409538,0.062895,0.089058,0.100000,67.073242
8,123,bernoulli_dropout,0.300000,B2_Mamba,76800,0.220882,0.172551,0.469980,0.082831,0.107657,1.944877,67.073242
8,123,bernoulli_dropout,0.400000,B0_Persistence,0,0.221513,0.119613,0.470652,0.085197,0.075521,0.100000,67.073242
8,123,bernoulli_dropout,0.400000,B1_Framewise,33344,0.159137,0.143585,0.398920,0.061206,0.085173,0.100000,67.073242
8,123,bernoulli_dropout,0.400000,B2_Mamba,76800,0.217468,0.174669,0.466334,0.083641,0.105348,2.045492,67.073242
8,123,bernoulli_dropout,0.500000,B0_Persistence,0,0.261527,0.132804,0.511397,0.125734,0.098512,0.100000,67.073242
8,123,bernoulli_dropout,0.500000,B1_Framewise,33344,0.172154,0.147441,0.414915,0.082766,0.109366,0.100000,67.073242
8,123,bernoulli_dropout,0.500000,B2_Mamba,76800,0.255176,0.181884,0.505150,0.122681,0.139248,1.936223,67.073242
8,123,contiguous_gap,1.000000,B0_Persistence,0,0.240122,0.125314,0.490023,0.030015,0.035804,0.500000,67.073242
8,123,contiguous_gap,1.000000,B1_Framewise,33344,0.175330,0.147490,0.418724,0.021916,0.042140,0.500000,67.073242
8,123,contiguous_gap,1.000000,B2_Mamba,76800,0.219155,0.165545,0.468140,0.027394,0.047299,0.500000,67.073242
8,123,contiguous_gap,2.000000,B0_Persistence,0,0.300793,0.141887,0.548446,0.075198,0.059241,0.500000,67.073242
8,123,contiguous_gap,2.000000,B1_Framewise,33344,0.174467,0.147296,0.417693,0.043617,0.060786,0.500000,67.073242
8,123,contiguous_gap,2.000000,B2_Mamba,76800,0.214080,0.167907,0.462688,0.053520,0.074707,0.500000,67.073242
8,123,contiguous_gap,4.000000,B0_Persistence,0,0.302885,0.141526,0.550350,0.151443,0.088208,0.500000,67.073242
8,123,contiguous_gap,4.000000,B1_Framewise,33344,0.172410,0.147056,0.415223,0.086205,0.094155,0.500000,67.073242
8,123,contiguous_gap,4.000000,B2_Mamba,76800,0.207420,0.166140,0.455434,0.103710,0.112743,0.500000,67.073242
8,456,bernoulli_dropout,0.100000,B0_Persistence,0,0.183356,0.111263,0.428201,0.015867,0.018738,0.100000,67.073242
8,456,bernoulli_dropout,0.100000,B1_Framewise,33344,0.165550,0.146027,0.406879,0.014326,0.023601,0.100000,67.073242
8,456,bernoulli_dropout,0.100000,B2_Mamba,76800,0.240832,0.178972,0.490746,0.020841,0.030299,2.669085,67.073242
8,456,bernoulli_dropout,0.200000,B0_Persistence,0,0.272158,0.128058,0.521688,0.044487,0.035020,0.100000,67.073242
8,456,bernoulli_dropout,0.200000,B1_Framewise,33344,0.168216,0.138122,0.410142,0.027497,0.039588,0.100000,67.073242
8,456,bernoulli_dropout,0.200000,B2_Mamba,76800,0.229311,0.168230,0.478864,0.037484,0.050473,2.262838,67.073242
8,456,bernoulli_dropout,0.300000,B0_Persistence,0,0.238192,0.124718,0.488049,0.070999,0.062654,0.100000,67.073242
8,456,bernoulli_dropout,0.300000,B1_Framewise,33344,0.186287,0.153447,0.431610,0.055528,0.075471,0.100000,67.073242
8,456,bernoulli_dropout,0.300000,B2_Mamba,76800,0.235865,0.172693,0.485659,0.070306,0.088031,1.994623,67.073242
8,456,bernoulli_dropout,0.400000,B0_Persistence,0,0.228525,0.120875,0.478043,0.092289,0.073175,0.100000,67.073242
8,456,bernoulli_dropout,0.400000,B1_Framewise,33344,0.170564,0.145961,0.412994,0.068882,0.088382,0.100000,67.073242
8,456,bernoulli_dropout,0.400000,B2_Mamba,76800,0.231571,0.170167,0.481218,0.093519,0.110318,1.950015,67.073242
8,456,bernoulli_dropout,0.500000,B0_Persistence,0,0.255069,0.127313,0.505044,0.129987,0.094440,0.100000,67.073242
